time,x,x_dot,y,y_dot,z,z_dot
2024-05-14 22:30:00,3312.282689,-25961.434994,-4493.673934,35669.763169,-3978.359425,-61998.146901
2024-05-14 23:00:00,-2552.8567,-16042.193392,5366.955274,34332.197932,-3417.700133,66002.875398
2024-05-14 23:30:00,-497.130226,25348.754238,458.460279,-71437.927214,6805.649212,6641.112374
2024-05-16 00:00:00,-585.941064,-9584.381345,4453.546428,56621.269168,-5180.697566,49793.547905
2024-05-16 00:30:00,-438.202905,4276.079498,2795.45646,-69252.80102,6227.936254,31303.827965
2024-05-16 01:00:00,-532.195495,-1385.556323,-6829.710694,987.695045,-87.939538,-76209.808798
2024-05-16 01:30:00,892.440942,14900.132313,2809.980894,66967.822032,-6191.084405,32555.461029
2024-05-16 02:00:00,1238.439833,-18677.025174,4216.538235,-55399.65011,5245.03118,48810.75409
2024-05-16 02:30:00,-3085.6652,-10170.400599,-5857.734775,-16799.050133,1751.140102,-73666.605482
2024-05-16 03:00:00,922.256127,42672.570032,784.484378,61408.00078,-6749.580641,12969.060925
2024-05-16 03:30:00,3649.365878,-28112.429561,4302.832925,-32870.394027,3876.491628,62739.632351
2024-05-16 04:00:00,-4604.227073,-30245.434412,-3699.535445,-24036.22754,3460.691211,-65702.851799
2024-05-16 04:30:00,-399.72506,63386.667234,-634.283203,41043.87471,-6816.124545,-7543.802581
2024-05-16 05:00:00,5812.035633,-21867.832428,2859.623741,-11858.682494,2223.05815,72056.973703
2024-05-16 05:30:00,-4598.097885,-52495.359478,-1232.978474,-15746.122978,4915.37816,-52912.059148
2024-05-16 06:00:00,-2386.860377,69545.419204,-731.918068,13091.848741,-6386.301922,-27510.938146
2024-05-16 06:30:00,6830.542727,-4549.06595,341.239061,-1677.769095,406.365872,76072.139471
2024-05-16 07:00:00,-3222.41218,-66656.744595,551.864339,6325.499049,6008.629254,-36244.024549
2024-05-16 07:30:00,-4057.364135,59642.392486,627.813897,-12161.810082,-5491.212482,-45497.601919
2024-05-16 08:00:00,6278.133268,14473.278216,-2341.378807,-6758.673547,-1439.970354,74495.512837
2024-05-16 08:30:00,-1208.287091,-65717.860547,974.767608,34444.386779,6660.533733,-16929.050724
2024-05-16 09:00:00,-4553.05099,38792.146742,2943.186319,-25683.019467,-4195.541697,-60196.112623
2024-05-16 09:30:00,4379.04084,25117.753871,-4207.831179,-24751.699567,-3180.285715,67460.664431
2024-05-16 10:00:00,452.368666,-48915.494317,-46.182457,58174.765803,6823.806759,3621.249663
2024-05-16 10:30:00,-3507.803392,16564.875726,5286.518839,-23501.110048,-2592.555683,-70523.703533
